packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
30,80,c0:94:ad:9e:5d:cc,0c:8e:29:5c:9a:5c,c0:94:ad:9e:5d:cc,0x0024,2,6,116,5580,5,True,False,-95,,,,1743180110.2466738,2025-03-28 18:41:50.246674
31,80,c0:94:ad:9e:5d:cc,0c:8e:29:5c:9a:5c,c0:94:ad:9e:5d:cc,0x0024,2,6,116,5580,5,True,False,-93,,,,1743180110.2767503,2025-03-28 18:41:50.276750
32,390,0c:73:29:b5:e8:db,0c:73:29:b5:e8:db,ff:ff:ff:ff:ff:ff,0x0008,0,6,44,5220,5,False,False,-87,,,3053546291237,1743180114.7908375,2025-03-28 18:41:54.790838
33,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-78,,,515035443237,1743180115.1671107,2025-03-28 18:41:55.167111
34,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-79,,,515035545637,1743180115.2186258,2025-03-28 18:41:55.218626
35,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-81,,,515035545637,1743180115.2699397,2025-03-28 18:41:55.269940
36,383,74:9d:79:64:e5:5e,74:9d:79:64:e5:5e,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-77,,,515035648037,1743180115.3209894,2025-03-28 18:41:55.320989
37,335,74:9d:79:64:e5:5f,74:9d:79:64:e5:5f,ff:ff:ff:ff:ff:ff,0x0008,0,6,52,5260,5,False,False,-79,,,515035648037,1743180115.3727434,2025-03-28 18:41:55.372743
38,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-71,,,1051700633637,1743180116.1930406,2025-03-28 18:41:56.193041
39,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-71,,,1051700736037,1743180116.244714,2025-03-28 18:41:56.244714
40,66,,,42:e2:6c:48:11:1e,0x001d,1,24,100,5500,5,False,False,-71,,,,1743180116.2499223,2025-03-28 18:41:56.249922
41,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6673624985605,1743180116.2625318,2025-03-28 18:41:56.262532
42,66,,,42:e2:6c:48:11:1e,0x001d,1,24,100,5500,5,False,False,-71,,,,1743180116.2684915,2025-03-28 18:41:56.268492
43,322,d8:21:da:86:f5:af,d8:21:da:86:f5:af,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051700736037,1743180116.2958493,2025-03-28 18:41:56.295849
44,413,d8:21:da:86:f5:ae,d8:21:da:86:f5:ae,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-72,,,1051700838437,1743180116.3471017,2025-03-28 18:41:56.347102
45,399,26:b1:b5:86:71:aa,26:b1:b5:86:71:aa,ff:ff:ff:ff:ff:ff,0x0008,0,6,100,5500,5,False,False,-86,,,6673625088010,1743180116.3647969,2025-03-28 18:41:56.364797
