packet_number,length,bssid,ta,ra,fc_type_subtype,fc_type,data_rate,channel,frequency,phy,retry,short_gi,signal_strength,bandwidth,mcs_index,tsf_timestamp,timestamp_wireshark,timestamp_readable
34,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-88,,,4243456394,1742833056.952026,2025-03-24 18:17:36.952026
35,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-27,,,2400079974804,1742833057.02208,2025-03-24 18:17:37.022080
36,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400080077227,1742833057.124563,2025-03-24 18:17:37.124563
37,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-87,,,4243661198,1742833057.156509,2025-03-24 18:17:37.156509
38,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-27,,,2400080179593,1742833057.226605,2025-03-24 18:17:37.226605
39,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-86,,,4243764057,1742833057.259659,2025-03-24 18:17:37.259659
40,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-27,,,2400080282010,1742833057.329011,2025-03-24 18:17:37.329011
41,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-25,,,2400080391400,1742833057.438651,2025-03-24 18:17:37.438651
42,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-87,,,4243968912,1742833057.464461,2025-03-24 18:17:37.464461
43,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400080486817,1742833057.534052,2025-03-24 18:17:37.534052
44,108,ff:ff:ff:ff:ff:ff,a8:80:55:1a:57:47,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,-82,,,,1742833057.547526,2025-03-24 18:17:37.547526
45,108,ff:ff:ff:ff:ff:ff,a8:80:55:1a:57:47,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,-82,,,,1742833057.548188,2025-03-24 18:17:37.548188
46,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-85,,,4244070793,1742833057.566098,2025-03-24 18:17:37.566098
47,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400080589198,1742833057.636171,2025-03-24 18:17:37.636171
48,108,ff:ff:ff:ff:ff:ff,a8:80:55:1a:57:47,ff:ff:ff:ff:ff:ff,0x0004,0,1,1,2412,4,False,False,-80,,,,1742833057.649362,2025-03-24 18:17:37.649362
49,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-85,,,4244173199,1742833057.668694,2025-03-24 18:17:37.668694
50,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-25,,,2400080691599,1742833057.738756,2025-03-24 18:17:37.738756
51,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-88,,,4244275599,1742833057.771039,2025-03-24 18:17:37.771039
52,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400080794027,1742833057.841001,2025-03-24 18:17:37.841001
53,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-87,,,4244377994,1742833057.873524,2025-03-24 18:17:37.873524
54,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400080896417,1742833057.943472,2025-03-24 18:17:37.943472
55,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-86,,,4244480395,1742833057.975924,2025-03-24 18:17:37.975924
56,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400080998806,1742833058.046002,2025-03-24 18:17:38.046002
57,269,12:f4:f0:24:b1:92,12:f4:f0:24:b1:92,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-88,,,4244582793,1742833058.078081,2025-03-24 18:17:38.078081
58,354,34:36:54:d4:79:03,34:36:54:d4:79:03,ff:ff:ff:ff:ff:ff,0x0008,0,1,1,2412,4,False,False,-26,,,2400081101197,1742833058.148176,2025-03-24 18:17:38.148176
59,80,34:36:54:d4:79:03,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0024,2,24,1,2412,6,False,False,-71,,,,1742833058.152902,2025-03-24 18:17:38.152902
60,66,,,06:09:51:6a:a9:b3,0x001d,1,24,1,2412,6,False,False,-28,,,,1742833058.152928,2025-03-24 18:17:38.152928
61,76,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0018,1,1,1,2412,4,False,False,-26,,,,1742833058.153131,2025-03-24 18:17:38.153131
62,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,1,1,2412,4,False,False,-75,,,,1742833058.153825,2025-03-24 18:17:38.153825
63,76,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0018,1,1,1,2412,4,False,False,-26,,,,1742833058.154046,2025-03-24 18:17:38.154046
64,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,1,1,2412,4,False,False,-75,,,,1742833058.154815,2025-03-24 18:17:38.154815
65,76,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0018,1,1,1,2412,4,False,False,-26,,,,1742833058.154891,2025-03-24 18:17:38.154891
66,84,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x0019,1,1,1,2412,4,False,False,-76,,,,1742833058.155602,2025-03-24 18:17:38.155602
67,134,34:36:54:d4:79:03,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0028,2,1,1,2412,4,False,False,-35,,,,1742833058.157546,2025-03-24 18:17:38.157546
68,66,,,34:36:54:d4:79:03,0x001d,1,1,1,2412,4,False,False,-75,,,,1742833058.157571,2025-03-24 18:17:38.157571
69,72,,06:09:51:6a:a9:b3,34:36:54:d4:79:03,0x001b,1,24,1,2412,6,False,False,-72,,,,1742833058.15767,2025-03-24 18:17:38.157670
70,66,,,06:09:51:6a:a9:b3,0x001c,1,24,1,2412,6,False,False,-27,,,,1742833058.157706,2025-03-24 18:17:38.157706
71,84,,34:36:54:d4:79:03,06:09:51:6a:a9:b3,0x0019,1,24,1,2412,6,False,False,-28,,,,1742833058.157847,2025-03-24 18:17:38.157847
